aaadkrrv: aardvark
aaadkrrsv: aardvarks
'aaadkrrsv: aardvark's
aadflorw: aardwolf
ab: ab
aaabc: abaca
aabck: aback
aabcsu: abacus
aabcessu: abacuses
aabft: abaft
aabelno: abalone
aabelnos: abalones
'aabelnos: abalone's
aabdnno: abandon
aabddenno: abandoned
aabdeenno: abandonee
aabdennor: abandoner
aabdginnno: abandoning
aabdemnnnot: abandonment
aabdnnos: abandons
aabes: abase
aabdes: abased
aabeemnst: abasement
aabeemnsst: abasements
aabess: abases
aabhs: abash
aabdehs: abashed
aabehss: abashes
aabghins: abashing
aabehmnst: abashment
aabgins: abasing
aabet: abate
aabdet: abated
aabeemntt: abatement
aabeemnstt: abatements
aabest: abates
aabgint: abating
aabiortt: abattoir
aabbcy: abbacy
aaabbilt: abbatial
abbess: abbess
abbey: abbey
abbesy: abbeys
'abbesy: abbey's
abbot: abbot
abbost: abbots
'abbost: abbot's
aabbeeirtv: abbreviate
aabbdeeirtv: abbreviated
aabbeeirstv: abbreviates
aabbegiinrtv: abbreviating
aabbeiinortv: abbreviation
aabbeiinorstv: abbreviations
aabbeiorrtv: abbreviator
aabbcdeil: abdicable
aabcdeit: abdicate
aabcddeit: abdicated
aabcdeist: abdicates
aabcdgiint: abdicating
aabcdiinot: abdication
aabcdiort: abdicator
abdemno: abdomen
abdemnos: abdomens
'abdemnos: abdomen's
aabdilmno: abdominal
aabdillmnoy: abdominally
abcdginu: abducing
abcdtu: abduct
abcddetu: abducted
abcdgintu: abducting
abcdinotu: abduction
abcdinostu: abductions
'abcdinostu: abduction's
abcdortu: abductor
abcdorstu: abductors
'abcdorstu: abductor's
abcdstu: abducts
aabem: abeam
aaabcdeeinr: abecedarian
abde: abed,bade,bead
aabceenrr: aberrance
aabcenrry: aberrancy
aabenrrt: aberrant
aabelnrrty: aberrantly
aabeinorrt: aberration
aaabeilnorrt: aberrational
aabeinorrst: aberrations
abet: abet,bate,beat,beta
abeemntt: abetment
abest: abets,baste,bates,beast,beats,betas
abdeett: abetted
abeertt: abetter
abegintt: abetting
abeortt: abettor
aabceeny: abeyance
aabenty: abeyant
abhor: abhor
abdehorr: abhorred
abceehnorr: abhorrence
abehnorrt: abhorrent,earthborn
abehlnorrty: abhorrently
abehorrr: abhorrer
abghinorr: abhorring
abhors: abhors
aabcdein: abidance
abdei: abide
abddei: abided,baddie
abdeir: abider
abdeis: abides,biased
abdgiin: abiding
abdgiilny: abidingly
abeiiilst: abilities
abiilty: ability
'abiilsty: ability's
aabceegiillnoty: abiogenetically
abegiinost: abiogenist
abcejt: abject
abceijnot: abjection
abceijnost: abjections
abcejlty: abjectly
abceejnsst: abjectness
aabijnortu: abjuration
abejru: abjure
abdejru: abjured
abejrru: abjurer
abejrsu: abjures
abgijnru: abjuring
aabelt: ablate
aabdelt: ablated,datable
aabelst: ablates
aabgilnt: ablating,bangtail
aabilnot: ablation
aabeiltv: ablative
aablort: ablator
aabltu: ablaut
aabelz: ablaze
abel: able,bale
abelr: abler,baler,blare,blear
abelst: ablest,bleats,stable,tables
ablmoo: abloom
abilnotu: ablution,abutilon
aabilnortuy: ablutionary
abilnostu: ablutions
ably: ably
aabeegnt: abnegate
aabeegnst: abnegates
aabeginnot: abnegation
